id,deliverTime,distance,idshop,minDeliverFee,minFee,mtWmPoiId,name,shopOpenStatus,sold,star
187,35,0,4294925,3.0,15.0,665419,麦多馅饼五道口店,0,1010,48
188,85,0,66362358,26.0,89.0,951393,夜来香水果,1,80,42
189,50,0,57017800,15.0,40.0,2228192,志慧友水果超市,1,48,49
190,35,0,76883479,7.0,0.0,1932605,晓艾生煎（中关村店）,0,30,50
191,89,0,18215555,0.0,0.0,334364,味美思蛋糕店,0,54,48
192,30,0,5284421,3.0,20.0,866558,满座儿(清华店),0,332,42
193,50,0,13818394,15.0,78.0,1079151,亚美超市（哈哈镜vip店）,0,1562,48
194,228,0,69733202,0.0,0.0,1616791,卡诗曼蛋糕,0,184,47
195,55,0,18772877,6.0,20.0,470290,微咖啡（学研店）,0,0,0
196,56,0,67190454,22.0,0.0,1390924,秋之意寿司三文鱼,0,47,50
197,34,0,23869120,3.0,0.0,213879,老地方盖饭,0,1265,45
198,39,0,90351695,7.0,15.0,2256912,凉皮达人（中关村店）,0,637,47
199,39,0,83471344,3.0,0.0,1969370,桃园煲仔饭（五道口店）,0,175,48
200,120,0,32316403,25.0,100.0,608156,念客misscake蛋糕,0,64,50
201,60,0,72346324,8.0,49.0,1889473,幸福花艺花店,0,0,0
202,57,0,83471676,0.0,20.0,2150053,肉食主义,0,176,42
203,30,0,2900014,6.0,30.0,485,宏状元(成府路店),0,1147,47
204,113,0,22975123,15.0,150.0,960048,MUKU CAKE（日式蛋糕）,0,90,47
205,56,0,17678712,20.0,300.0,577506,1979烘焙店（朝阳大悦城店）,0,1,0
206,38,0,83589430,5.0,0.0,2180820,鲍师傅糕点（中关村店）,0,1431,47
207,30,0,69176063,5.0,0.0,1491676,九朝一品（科学院南路店）,0,5,0
208,32,0,5993271,7.0,20.0,47335,朵宜秘制排骨饭,0,470,49
209,45,0,24795487,0.0,0.0,684353,秦晋羊肉泡馍,0,761,45
210,41,0,67356614,4.0,20.0,1161233,樱花屋（清华店）,1,1080,47
211,56,0,69796903,20.0,50.0,1691417,与Ta时光,1,0,0
212,65,0,75164392,8.0,58.0,1841538,望京小腰北航串吧,1,408,49
213,56,0,66647745,19.0,119.0,1001704,果之缘,1,0,0
214,60,0,90336657,0.0,0.0,2253556,花为美鲜花（北京花洋旗舰店）,0,1,0
215,56,0,90403282,4.0,10.0,1728887,余味多拼饭,0,305,45
216,60,0,77490124,0.0,0.0,1573767,美御花庭鲜花,0,48,49
217,31,0,17965593,4.0,15.0,885228,赵记驴肉火烧（农大店）,0,2510,47
218,36,0,514404,5.0,20.0,512243,桃屋日本料理（五道口总店）,0,1948,48
219,64,0,73396313,34.0,0.0,1744715,麻辣8号（麻辣香锅小龙虾）,0,455,45
220,40,0,72456069,7.0,15.0,1924235,無介沙拉煎饼,0,107,48
221,71,0,69332845,8.0,50.0,1538566,赛百味,0,136,45
222,35,0,54020858,6.0,0.0,269304,诚达双拼饭,0,689,47
223,30,0,3195202,3.0,0.0,404686,宝润缘粥饼家常菜,0,1458,46
224,60,0,67842221,0.0,0.0,1300815,鲜花,0,1,0
225,50,0,71401184,56.0,20.0,1612634,酒汇千家,0,38,50
226,60,0,5627084,0.0,100.0,1096124,爱无语,0,0,0
227,40,0,83589318,8.0,0.0,2180760,佳味简餐（中关村店）,0,852,43
228,32,0,32565422,6.0,20.0,525043,德克士(五道口店),0,3462,48
229,35,0,50315945,4.0,0.0,1060902,张亮麻辣烫(保福寺店),0,3355,45
230,67,0,69894203,5.0,30.0,1656064,八分饱（香辣虾）,0,310,45
231,40,0,83589221,5.0,20.0,2180737,杨国福麻辣烫（中关村大街店）,0,435,46
232,41,0,73600496,3.0,0.0,1779649,五食代（中关村店）,0,917,47
233,30,0,2056765,5.0,20.0,202003,金凤成祥(五道口一店),0,10,0
234,64,0,77444989,2.0,20.0,1977655,优优西餐屋,1,181,45
235,47,0,40206097,3.0,0.0,1673296,无饿不做,1,0,0
236,56,0,69107833,10.0,68.0,1472599,果儿鲜果蔬超市（次日配送）,1,0,0
237,31,0,68210945,3.0,15.0,1457302,刁四藤椒麻辣烫,1,0,0
238,74,0,69688620,39.0,168.0,1602665,烧烤一品,0,380,44
239,82,0,63374776,30.0,0.0,867143,UV海鲜匠,0,168,43
240,42,0,3081034,5.0,20.0,202005,金凤成祥(五道口三店),0,0,0
241,65,0,90026360,30.0,85.0,2198475,蔬艺房水果净菜专营店,0,155,49
242,56,0,69727048,0.0,0.0,1625734,口口福蛋糕房,0,10,0
243,56,0,69638464,10.0,0.0,1625738,燕澜坞,0,11,0
244,56,0,65731499,0.0,0.0,871653,kiss千层榴莲蛋糕,0,27,0
245,45,0,73622292,4.0,35.0,1786193,美味粥吧,0,391,46
246,56,0,91587106,0.0,0.0,2279776,馋猫蛋糕店,0,5,0
247,62,0,80988705,0.0,0.0,2097231,幸福e站鲜花店,0,70,50
