shopid,shopname,lat,lng,cateid,catename
57773173,24世纪华联超市,40.0613571612848,116.320080655372,100970,商超生鲜
\N,鲜肉果蔬超市,\N,\N,100970,商超生鲜
\N,小蹄大作（五道口店）,\N,\N,101327,烧烤炸鸡
\N,香香小屋(西式营养快餐),\N,\N,101052,汉堡披萨
\N,贝贝龙虾（回龙观店）,\N,\N,101327,烧烤炸鸡
\N,湘香腊辣（国奥店）,\N,\N,101303,无辣不欢
\N,故乡酒家冷面大王（北大店）,\N,\N,100321,异国料理
\N,Dr.Cake烘焙坊,\N,\N,101276,甜点饮品
\N,家润多美蛋糕房（羊坊路店）,\N,\N,101276,甜点饮品
\N,吉祥如意蛋糕店（双井店）,\N,\N,101276,甜点饮品
\N,烧虾师（工体精莱店）,\N,\N,101327,烧烤炸鸡
\N,南门重庆老灶火锅,\N,\N,101301,暖胃粉面
\N,明洞邦韩国料理（总店）,\N,\N,100321,异国料理
\N,人来人旺盱眙龙虾馆,\N,\N,101327,烧烤炸鸡
\N,三和精品私房菜,\N,\N,101303,无辣不欢
\N,烧虾师（望京麒麟社店）,\N,\N,101327,烧烤炸鸡
\N,齐天府超市,\N,\N,100970,商超生鲜
\N,拼豆夜宵（车公庄）,\N,\N,101327,烧烤炸鸡
\N,爱利飞幸食品店,\N,\N,100970,商超生鲜
\N,好利客超市,\N,\N,100970,商超生鲜
\N,焙客法式蛋糕,\N,\N,101276,甜点饮品
\N,明洞邦雪冰,\N,\N,101276,甜点饮品
\N,黄焖鸡米饭·重庆小面,\N,\N,101301,暖胃粉面
\N,约翰大叔披萨,\N,\N,101052,汉堡披萨
\N,辣尚瘾（五道口店）,\N,\N,101303,无辣不欢
\N,馨雨花韵花店,\N,\N,101346,鲜花蛋糕
\N,拼豆夜宵（中关村店）,\N,\N,101327,烧烤炸鸡
\N,薇奢花艺,\N,\N,101346,鲜花蛋糕
\N,未名鲜果切,\N,\N,100970,商超生鲜
\N,咱家东北菜韩式料理（始创于1993年）,\N,\N,100321,异国料理
\N,翔子驴肉火烧烤串,\N,\N,101327,烧烤炸鸡
\N,寿司道场（五道口总店）,\N,\N,100321,异国料理
\N,爱和面串串香,\N,\N,101327,烧烤炸鸡
\N,千百渡花艺旗舰店,\N,\N,101346,鲜花蛋糕
\N,小城渔家（上地店）,\N,\N,101303,无辣不欢
\N,兄弟烤羊腿家常菜,\N,\N,101327,烧烤炸鸡
\N,北京红杉假日酒店罗曼娜印度餐厅,\N,\N,100321,异国料理
\N,红辣椒串吧（清河店）,\N,\N,101327,烧烤炸鸡
\N,拼豆夜宵（奥体店）,\N,\N,101327,烧烤炸鸡
