origin,destination,count
65504764,27289045,9
65504764,514404,9
65504764,57297262,11
65504764,67328901,14
65504764,68164162,10
65504764,68184085,9
65504764,69419758,9
65504764,69510868,9
65504764,90063338,9
65685667,25042206,14
65712689,17726841,9
65712689,2339536,10
65712689,39641424,10
65712689,4117988,9
65712689,4233334,10
65712689,5436342,10
65712689,68074685,9
65712689,69843984,10
65712689,8819555,10
65712689,8988572,9
65712689,90555213,11
65768485,56833601,13
65768485,6526138,12
65768485,66767157,25
65801744,57566646,19
65944578,565909,13
65944578,66050831,14
65944578,90063338,9
65969267,67620262,18
66038221,66104309,11
66038221,67868497,9
66050831,4233334,15
66050831,65944578,14
66058505,69061150,10
66075414,69087720,10
66083988,3668452,11
66104309,23099282,11
66104309,3668452,14
66104309,66038221,11
66104309,66731457,10
66109224,67832524,11
66151745,67296986,14
66181473,69664087,10
66274137,2404204,9
66274137,2900014,12
66274137,6040805,11
66300424,48578239,13
66325573,32565422,12
66325573,39641424,11
66325573,5201155,11
66325573,58531773,11
66325573,68074685,10
66325573,90555213,9
66375821,10332056,11
66375821,27000006,10
66388888,22975123,10
66459960,67080988,19
66467642,516103,9
66467642,69691581,9
66551271,67152499,11
66571319,2410459,9
66571319,3668452,12
66571319,48010354,17
66571319,513406,11
66571319,5311691,10
66571319,69027105,11
66571319,69702918,13
66695764,48578239,11
66731457,19107806,11
66731457,25054648,9
66731457,3101473,11
66731457,56569601,9
66731457,66104309,10
66731457,67174801,10
66731457,67255663,16
66731457,68074685,11
66731457,68184085,10
66731457,69894203,10
66731457,73622292,13
66737949,67804265,13
66767157,65768485,25
66775351,66795781,29
66795781,66775351,29
67080988,66459960,19
67142049,67244554,10
67152499,58685726,10
67152499,66551271,11
67174801,24649498,11
67174801,25054648,14
67174801,66731457,10
67174801,67255663,13
67174801,67790988,15
67174801,69419758,9
67207124,69660818,11
67227774,50581176,17
67227774,77490124,10
67243637,21289179,9
67243637,45402421,13
67243637,58685726,15
67244554,67142049,10
67255663,21819731,12
67255663,23593306,9
67255663,25054648,11
67255663,3101473,12
67255663,39641424,12
67255663,58670973,9
67255663,66731457,16
67255663,67174801,13
67255663,67790988,16
67255663,68074685,15
67255663,69510868,9
67255663,90555213,13
