origin,destination,count
2654032,2666680,11
2654032,3131344,11
2654032,3543058,11
2654032,5356369,12
2654032,5616861,9
2654032,5724122,10
2654032,8112884,10
2654032,8988699,11
2654032,15130972,10
2654032,18020781,13
2654032,23612386,9
2654032,45464662,12
2654032,59161660,14
2654032,69797642,9
59262032,512579,10
59262032,8291516,9
59262032,17160241,16
59262032,17876459,16
59262032,23432121,12
59262032,23612386,10
59262032,48007968,9
59262032,48183195,9
59262032,57394803,10
59262032,58353947,12
59262032,65944854,9
69562621,21973145,9
82244364,67647906,10
82244364,67773892,9
82244364,75090907,10
82244364,75201023,10
18721832,37491989,10
76989510,77490124,22
66381323,66795047,11
66381323,69664204,20
66381323,76758442,28
21949591,512237,9
21949591,2003104,13
21949591,2400406,9
21949591,2490793,11
21949591,2688802,9
21949591,2749942,11
21949591,3304546,11
21949591,16988545,11
21949591,20968030,11
21949591,23223824,9
21949591,23263828,11
21949591,27474822,9
21949591,35937614,10
21949591,37491989,14
21949591,59211021,11
21949591,67731779,15
21949591,70426517,10
65796695,23432121,11
65796695,45464662,9
3099511,509084,9
3099511,512399,16
3099511,512579,11
3099511,3490447,9
3099511,3543058,9
3099511,5356369,18
3099511,8291516,11
3099511,18768923,12
3099511,18845964,11
3099511,23122494,9
3099511,69232134,9
3099511,69797642,9
3099511,73414401,9
69109703,69480550,16
69109703,69498464,11
69109703,69896182,17
76917602,5451108,9
76917602,6839703,10
76917602,67630485,17
76917602,69572326,9
76917602,69843984,11
76917602,69896182,10
76917602,75812022,11
76917602,79304086,9
48578239,66300424,13
48578239,66695764,11
72347284,65801744,9
69890276,67881470,9
69890276,69201636,10
69890276,76850658,13
69890276,83589318,9
5239674,511142,11
5239674,513712,10
5239674,2445046,25
69711945,32675811,18
69711945,79368075,12
20648674,2377600,11
20648674,19011214,11
20648674,57567064,9
20648674,69303244,12
2666680,509084,13
2666680,512017,14
2666680,513758,10
2666680,2116402,9
2666680,2654032,11
2666680,3131344,13
2666680,3331159,11
2666680,3543058,15
2666680,5356369,10
2666680,5724122,9
2666680,6020566,9
2666680,8988699,15
2666680,9073131,10
2666680,15130972,18
2666680,16832750,10
2666680,17628209,14
2666680,18020781,13
2666680,21993091,13
2666680,23612386,10
2666680,24084142,10
2666680,35930098,12
2666680,45342618,15
2666680,45464662,12
2666680,48073072,9
2666680,57395824,9
2666680,58353947,10
2666680,59161660,11
2666680,69797642,9
2666680,72351328,16
2666680,73414401,17
59211021,21949591,11
59211021,65480053,9
59211021,67731779,22
59211021,74597846,9
57426036,66154002,9
83548959,77608089,34
5451108,8112884,12
5451108,15130972,9
5451108,27474822,11
5451108,64016695,10
5451108,67773892,9
5451108,69797642,26
5451108,70426517,11
5451108,74569071,9
5451108,76917602,9
5451108,90088173,9
58738754,68147168,12
5999913,16830412,11
5999913,23099282,13
37491989,510278,12
37491989,2490793,9
37491989,5616861,10
37491989,18721832,10
37491989,19122301,11
37491989,20968030,14
37491989,21949591,14
37491989,22574697,9
37491989,23263828,10
37491989,35937614,12
37491989,58738167,10
37491989,67731779,10
67420602,511042,22
67420602,512579,9
67420602,512939,16
67420602,1916689,12
67420602,3304546,10
67420602,5397106,16
67420602,5616861,17
67420602,8968906,16
67420602,13725566,9
67420602,13836690,10
67420602,16988545,9
67420602,18768923,10
67420602,23223824,11
67420602,45404917,9
67420602,67731779,9
67420602,73414401,9
67420602,74632448,9
69557110,509084,10
69557110,581201,9
69557110,3331159,10
69557110,3490447,10
69557110,5356369,9
69557110,9067060,10
69557110,16988545,14
69557110,23122494,13
69557110,23223824,10
69557110,36426079,9
69557110,58223978,11
69557110,66340319,10
69557110,68181630,15
69557110,72351328,17
69557110,73414401,15
69557110,77312244,13
69557110,79258615,9
66820801,67425592,9
56992747,18491486,9
2585788,510278,13
2585788,511764,9
2585788,512237,13
2585788,1916689,15
2585788,2400406,9
2585788,2678710,9
2585788,2749942,9
2585788,2792020,9
2585788,3304546,10
2585788,8968906,11
2585788,16988545,9
2585788,18280058,10
2585788,18768923,14
2585788,21993091,9
2585788,35937614,10
2585788,38872568,9
2585788,45404917,13
2585788,48011181,19
2585788,58353947,10
2585788,59441452,9
2585788,70426517,9
32548156,2274049,9
32548156,2398612,10
32548156,3690208,9
32548156,16988545,9
21973145,69562621,9
68181630,509084,25
68181630,511634,9
68181630,1944889,16
68181630,1947109,13
68181630,5356369,9
68181630,5397106,10
68181630,5724122,10
68181630,21993091,9
68181630,23122494,13
68181630,45342618,15
68181630,58223978,9
68181630,65480053,9
68181630,69232134,9
68181630,69413245,11
68181630,69557110,15
68181630,73414401,18
68181630,77280137,9
76850658,1944889,9
76850658,50664390,9
